datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2020-01-30,,,,,,,,,,,,,,,402649.383,,,,190137.536,,,,,,,,,,,,,,14120701.13,,653770.608,,,,,,,,,,,,,,,,,,,6791645.62,1130298.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940192541.0,,,,,,,,,218010241.0,,136027408.5,,,,2020-01-30
2020-01-31,,,244632854.0,,,,,,,,,,,,331651.593,,,,146644.026,,,,,,,,,,,,,,14565411.89,,672522.049,,,,,,,,,,,,,,,,,,,3932003.6,1316496.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388644213.0,,,,,,,,,178079464.0,,114882434.6,,,,2020-01-31
2020-02-01,,,372594843.0,,,,,,,,,,,,279493.713,,,,109040.285,,,,,,,,,,,,,,9632345.73,,526688.019,,,,,,,,,,,,,,,,,,,2911735.11,1214559.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639379013.0,,,,,,,,,164642903.0,,78371892.9,,,,2020-02-01
2020-02-02,,,481355438.0,,,,,,,,,,,,282770.45,,,,148402.977,,,,,,,,,,,,,,9813015.08,,907342.798,,,,,,,,,,,,,,,,,,,3802570.97,1067588.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093410839.0,,,,,,,,,132993163.0,,188036127.4,,,,2020-02-02
2020-02-03,,,337457383.0,,,,,,,,,,,,270961.085,,,,159049.385,,,,,,,,,,,,,,11135329.25,,652054.538,,,,,,,,,,,,,,,,,,,3581271.52,908404.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863670331.0,,,,,,,,,203046810.0,177071.103,136732781.0,,,,2020-02-03
2020-02-04,,,267287553.0,,,,,,,,,,,,254456.491,,,,147843.902,,,,,,,,,,,,,,8197541.17,,614290.379,,,,,,,,,,,,,,,,,,,4986574.63,864721.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593041823.0,,,,,,,,,198934970.0,230733.121,293891453.1,,,,2020-02-04
2020-02-05,,,293624089.0,,,,,,,,,,,,645369.242,,,,212311.697,,,,,,,,,,,,,,9547296.27,,902811.615,,,,,,,,,,,,,,,,,,,6672109.53,938936.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373450824.0,,,,,,,,,288903018.0,275305.488,326815683.9,,83798.339,,2020-02-05
2020-02-06,,,285964483.0,,,,,,,,,,,,514588.788,,,,200556.367,,,,,,,,,,,,,,15225195.42,,1254989.317,,,,,,,,,,,,,,,,,,,6810869.82,885328.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3434882952.0,,,,,,,,,199279330.0,130355.894,308785098.1,1622030.8,69289.16,,2020-02-06
2020-02-07,,,301494128.0,,,,,,,,965941.88,,,,451019.061,,,,129740.767,,,,,,,,,,,,,,7308810.38,,1054174.736,,,,,,,,,,,,,,,,,,,21498629.65,753271.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708122433.0,,,,,,,,,157867965.0,145821.539,179021253.9,2132892.7,98172.843,,2020-02-07
2020-02-08,,,258763669.0,,,,,,,,1234406.02,,,,396768.958,,,,129267.269,,,,,,,,,,,,,,5661356.76,,1090545.108,,,,,,,,,,,,,,,,,,,13960201.73,907541.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786654820.0,,,,,,,,,116903187.0,124853.413,213133598.3,3605091.1,89554.027,,2020-02-08
2020-02-09,,,219182975.0,,,,,,,,985383.9,,,,330721.988,,,,143407.013,,,,,,,,,,,,,,6429119.9,,969021.787,,,,,,,,,,,,,,,,,,,10618619.75,867779.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298173744.0,,,,,,,,,108562276.0,167717.445,186098848.0,11107625.1,73579.213,,2020-02-09
2020-02-10,,,246284094.0,,,,,,,,1026402.54,,,,376636.508,1405091.86,,,184242.737,,,,,,,,,,,,,,7513381.36,,1175671.024,,,,,,,,,,,,,,,,,,,12794908.32,1160040.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615345731.0,,,,,,,,,126987403.0,125420.882,154571029.9,8869747.8,76113.401,,2020-02-10
2020-02-11,,,316957344.0,,,,,,,,1946745.8,,,,396722.184,1783061.99,,,190119.815,,,,,,,,,,,,,,7874721.88,,1194286.448,,,,,,,,,,,,,,,,,,,20242362.25,936902.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587590799.0,,,,,,,,,144883506.0,218711.154,170236592.2,7276609.8,92413.848,,2020-02-11
2020-02-12,,,552763234.0,,,,,,,,1592273.17,,,,363423.37,1311285.47,,,159674.258,,,,,,,,,,,,,,7318554.67,,2223807.477,,,,,,,,,,,25630878.8,,,,,,,,21463540.02,1370117.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215720257.0,,,,,,,,,227801042.0,191814.211,354388313.3,12871362.1,109908.374,,2020-02-12
2020-02-13,,,688219788.0,,,,,,,,2061445.94,,,,361949.703,1451755.42,,,213052.717,,,,,,,,,,,,,,9347726.29,,2386998.02,,,,,,,,,,,29301543.1,,,,,,,,15384991.48,1628544.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445011003.0,,,,,,,,,308406277.0,216644.758,766448983.5,10633209.6,121454.499,,2020-02-13
2020-02-14,,,491638895.0,,,,,,,,1221732.7,,,,325020.08,1271237.03,,,130975.746,,,,,,,,,,,,,,4776858.55,,1447161.175,,,,,,,,,,,21486527.0,,,,,,,,16408846.63,894633.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978364942.0,,,,630576333.0,,,,,142913799.0,111776.785,349052494.4,9817208.5,82366.846,,2020-02-14
2020-02-15,,,493739507.0,,,,,,,,1869691.28,,,,458579.253,1601280.92,,,152146.127,,,,,,,,,,,,,,9943515.61,,1925220.413,,,,,,,,,,,18981443.4,,,,,,,,25198236.75,922664.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573076408.0,,,,997860937.0,,,,,181362928.0,149330.801,453671357.3,10762495.8,106902.644,,2020-02-15
2020-02-16,,,519254402.0,,,,,,,,2256837.69,,,,591293.63,1775025.82,,,141547.956,,,,,,,,,,,,,,11143052.45,,2297491.401,,,,,,,,,,,14929658.1,,,,,,,,36234506.95,1179931.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046157891.0,,,,853356048.0,,,,,202850998.0,288121.713,424275245.0,9401679.8,177638.011,,2020-02-16
